key;character_name;text
;;
intro_1;;В тот вечер был сильный ливень.
intro_2;;Лето уже закончилось и настало время возвращаться домой.
intro_3;;Ты был на станции, ждал, когда прибудет поезд до твоего родного города.
intro_4;;В тот день ты думал о времени, об упущенных возможностях. И, вероятно... о будущем.
intro_5;;Сейчас это кажется таким далеким, таким наивным.
intro_6;;С тех пор твоя жизнь кардинально изменилась.
intro_7;;Ты больше не думаешь ни о времени, ни о возможностях.
intro_8;;Но тогда ты с нетерпением ждал завтрашнего дня, и верил, что тебя ждет обыкновенная жизнь.
intro_9;;Мир будто бы умещался на ладони.
intro_10;;...
intro_11;;В тот вечер был действительно сильный ливень.
;;
01_sitInTrain_1;;Наконец ты поедешь домой.
01_sitInTrain_2;;Помнится, легкое чувство удовлетворения наполнило тебя тогда.
01_sitInTrain_3;;... Затем случилось то, что изменило твою жизнь навсегда.
01_sitInTrain_4;???;"Директор  видит в вас потенциал, Уилкинс".
01_sitInTrain_5;???;"Поезд разобьется, но вы будете наняты".
;;
02_andThenTrainCrashed_1;;А затем...
02_andThenTrainCrashed_2;;...поезд правда разбился.
;;
int_strange_painting_1;;Картина сильно потерлась, из-за чего почти не разобрать что на ней изображено.
int_strange_painting_2;;Но может это и к лучшему.
int_strange_painting_3;;Не похоже, что это было хорошая картина.
;;
int_toma_tv_1;;Экран телевизора заполняет пространство перед собой золотым свечением.
int_toma_tv_2;;Поскольку он ничего не показывает, он здесь скорее работает как лампа, нежели как телевизор.
;;
01_secretary_fashion;???;...такие модные вещи сейчас нигде не купишь...
01_secretary_fashion_response_1;;Чего?
01_secretary_fashion_response_2;;Как я здесь оказался?
01_secretary_fashion_response_3;;Вы работник коммунальных услуг?
;;
secretary_first_meet_1;???;Ожидайте, к вам подойдут.
secretary_first_meet_2;???;Можете пока присесть... где-нибудь.
secretary_first_meet_3;???;Постойте, так вы что, только что умерли?
secretary_first_meet_4;Герта;"Меня зовут Герта" - улыбнулась она - "Приятно познакомиться".
secretary_first_meet_5;Герта;А вы должно быть... Уилкинс? 
secretary_first_meet_6;Герта;Если честно, здесь давно никого не было. Я даже не совсем понимаю, что нужно делать
secretary_first_meet_7;;Герта начала копаться в своем блокноте
secretary_first_meet_8;Герта;Хм...
secretary_first_meet_9;Герта;Хмммм...
secretary_first_meet_10;Герта;ХММММ!..
secretary_first_meet_11;;Затем она взяла телефон, и набрала короткий номер
secretary_first_meet_12;Герта;Босс, у нас в приемной стоит человек, похоже, это наш "умерший".
secretary_first_meet_13;;Кажется, на том конце провода не слишком этому рады.
secretary_first_meet_14;Герта;...
secretary_first_meet_15;Герта;Вы уверены? Это же слишком…
secretary_first_meet_16;Герта;…поняла. 
secretary_first_meet_17;Герта;Сделаю в этот раз без сахара. А с "умершим" что делать?
secretary_first_meet_18;Герта;Поняла, сейчас передам.
secretary_first_meet_19;;Она положила трубку и снова обратилась ко мне с улыбкой.
secretary_first_meet_20;Герта;Босс сказал передать тебя ему. Тебе повезло!
secretary_first_meet_21;Герта;Не бойся, он тебе понравится. Конечно, он бывает чересчур громким и активным, но это даже лучше.
secretary_first_meet_22;Герта;А то тут всегда такая гробовая тишина.
secretary_first_meet_23;Герта;Гробовая, понял?)
secretary_first_meet_24;Герта;Выйдешь в дверь прямо за моей спиной и сразу направо, до конца коридора.
secretary_first_meet_25;Герта;На двери табличка с надписью, не пропустишь
secretary_first_meet_26;Герта;Давай! Не грусти!)
;;
012_come_to_boss;Герта;Ну же, иди к боссу через дверь за моей спиной.


020_meet_big_boss_1;Босс;Ха-ха-ха! Привет, сынок!
020_meet_big_boss_2;Босс Джефф;Меня зовут Джефф, рад тебя здесь видеть! 
020_meet_big_boss_3;Босс Джефф;Хотя это значит, что тебе придется нелегко.
020_meet_big_boss_4;;Затем он широко улыбнулся.
020_meet_big_boss_5;Босс Джефф;Тем не менее, поздравляю с первым днем здесь!
020_meet_big_boss_6;Босс Джефф;Насколько я знаю тебе не сказали, зачем ты здесь.
020_meet_big_boss_7;Босс Джефф;Поэтому нужно решить, что тебе делать.
020_meet_big_boss_8;Босс Джефф;Конечно же, я знаю что именно. Я же БОСС!!!
020_meet_big_boss_9;Босс Джефф;Тебе нужно...
020_meet_big_boss_10;Босс Джефф;...ммм... 
020_meet_big_boss_11;Босс Джефф;...принести мой черный кофе!
020_meet_big_boss_12;;Классика, так и начинается рабочее утро.
020_meet_big_boss_13;;Кто-то пьет кофе, а кто-то его приносит. В этот раз ты из вторых.
020_meet_big_boss_14;Босс Джефф;Ну чего ты так приуныл? Пока ты ходишь за ним, я откопаю нужные должностные инструкции.
020_meet_big_boss_15;Босс Джефф;Такая мелочь, принести кофе. У меня довольно тяжелая работа, весь день расписан поминутно. 
020_meet_big_boss_16;;Давайте будем честны: сейчас из тебя делают мальчика на побегушках.
020_meet_big_boss_17;;Все через это проходили, не отчаивайся.
020_meet_big_boss_18;Босс Джефф;Это должен быть великолепный кофе без сахара, но с корицей.
020_meet_big_boss_19;Босс Джефф;Потому что сахар — зло. А корица для вкуса.
020_meet_big_boss_20;Босс Джефф;А теперь поспеши, а то уволю.
;;
021_bring_me_coffee_1;Босс Джефф;Почему ты до сих пор без моего любимого кофе?!
021_bring_me_coffee_2;Босс Джефф;Лишь потеряв нормальный режим сна, мы обретаем этот божественный напиток в полной мере.
;;

030_ask_some_coffee_1;Герта;Ну? Как все прошло? 
030_ask_some_coffee_2;;Ее глаза были наполнены по-детски милым ожиданием, будто я рождественская елка с подарками
030_ask_some_coffee_3;Герта;Вы однозначно поладили. Он такой харизматичный и сильный. Он не просто так добился своего места.
030_ask_some_coffee_4;;Это не обязательно так. Его могли поставить просто за выслугу лет.
030_ask_some_coffee_5;Герта;С корицей?
030_ask_some_coffee_6;Герта;Сейчас...
030_ask_some_coffee_7;;Герта набрала немного кофе в чашку. 
030_ask_some_coffee_8;;Затем осторожно подула на него свернув губы в трубочку.
030_ask_some_coffee_9;;Потом закрыв глаза медленно вдохнула его аромат и расплылась в блаженной улыбке.
030_ask_some_coffee_10;Герта;Держи. Я надеюсь, ему понравится.
030_ask_some_coffee_11;;Ты осторожно берешь чашку. 
030_ask_some_coffee_12;;Кофе пахнет просто фантастически. Руки приятно нагрелись от прикосновения. 
030_ask_some_coffee_13;;За такой кофе можно и умереть. Надо будет потом попросить и для себя.
030_ask_some_coffee_14;Герта;Что-то еще?

;;comment: несколько вариантов ответа 
030_ask_some_coffee_response_1;;Как долго ты здесь работаешь?
030_ask_some_coffee_response_2;;Здесь есть еще люди?
